Request id,Pickup point,Driver id,Status,Request timestamp,Drop timestamp,Day ,Hour of Request,Time Slot
619,Airport,1,Trip Completed,2016-07-11 11:51:00,2016-07-11 13:00:00,Monday,11,Morning
867,Airport,1,Trip Completed,2016-07-11 17:57:00,2016-07-11 18:47:00,Monday,17,Evening
1807,City,1,Trip Completed,2016-07-12 09:17:00,2016-07-12 09:58:00,Tuesday,9,Morning
2532,Airport,1,Trip Completed,2016-07-12 21:08:00,2016-07-12 22:03:00,Tuesday,21,Night
3112,City,1,Trip Completed,2016-07-13 08:33:16,2016-07-13 09:25:47,Wednesday,8,Morning
3879,Airport,1,Trip Completed,2016-07-13 21:57:28,2016-07-13 22:28:59,Wednesday,21,Night
4270,Airport,1,Trip Completed,2016-07-14 06:15:32,2016-07-14 07:13:15,Thursday,6,Morning
5510,Airport,1,Trip Completed,2016-07-15 05:11:52,2016-07-15 06:07:52,Friday,5,Night
6248,City,1,Trip Completed,2016-07-15 17:57:27,2016-07-15 18:50:51,Friday,17,Evening
267,City,2,Trip Completed,2016-07-11 06:46:00,2016-07-11 07:25:00,Monday,6,Morning
1467,Airport,2,Trip Completed,2016-07-12 05:08:00,2016-07-12 06:02:00,Tuesday,5,Night
1983,City,2,Trip Completed,2016-07-12 12:30:00,2016-07-12 12:57:00,Tuesday,12,Afternoon
2784,Airport,2,Trip Completed,2016-07-13 04:49:20,2016-07-13 05:23:03,Wednesday,4,Night
3075,City,2,Trip Completed,2016-07-13 08:02:53,2016-07-13 09:16:19,Wednesday,8,Morning
3379,City,2,Trip Completed,2016-07-13 14:23:02,2016-07-13 15:35:18,Wednesday,14,Afternoon
3482,Airport,2,Trip Completed,2016-07-13 17:23:18,2016-07-13 18:20:51,Wednesday,17,Evening
4652,City,2,Trip Completed,2016-07-14 12:01:02,2016-07-14 12:36:46,Thursday,12,Afternoon
5335,Airport,2,Trip Completed,2016-07-14 22:24:13,2016-07-14 23:18:52,Thursday,22,Night
535,Airport,3,Trip Completed,2016-07-11 10:00:00,2016-07-11 10:31:00,Monday,10,Morning
960,Airport,3,Trip Completed,2016-07-11 18:45:00,2016-07-11 19:23:00,Monday,18,Evening
1934,Airport,3,Trip Completed,2016-07-12 11:17:00,2016-07-12 12:23:00,Tuesday,11,Morning
2083,Airport,3,Trip Completed,2016-07-12 15:46:00,2016-07-12 16:40:00,Tuesday,15,Afternoon
2211,Airport,3,Trip Completed,2016-07-12 18:00:00,2016-07-12 18:28:00,Tuesday,18,Evening
3096,Airport,3,Trip Completed,2016-07-13 08:17:29,2016-07-13 09:22:37,Wednesday,8,Morning
3881,Airport,3,Trip Completed,2016-07-13 21:54:18,2016-07-13 22:51:23,Wednesday,21,Night
5254,City,3,Trip Completed,2016-07-14 21:23:03,2016-07-14 22:25:19,Thursday,21,Night
5434,City,3,Trip Completed,2016-07-15 02:41:38,2016-07-15 03:24:43,Friday,2,Night
5916,City,3,Trip Completed,2016-07-15 10:00:43,2016-07-15 10:53:06,Friday,10,Morning
669,City,4,Trip Completed,2016-07-11 13:08:00,2016-07-11 13:49:00,Monday,13,Afternoon
1567,Airport,4,Trip Completed,2016-07-12 06:21:00,2016-07-12 07:10:00,Tuesday,6,Morning
1826,City,4,Trip Completed,2016-07-12 09:27:00,2016-07-12 10:27:00,Tuesday,9,Morning
2102,City,4,Trip Completed,2016-07-12 16:09:00,2016-07-12 17:01:00,Tuesday,16,Afternoon
2847,Airport,4,Trip Completed,2016-07-13 05:34:20,2016-07-13 06:09:59,Wednesday,5,Night
3722,Airport,4,Trip Completed,2016-07-13 19:57:59,2016-07-13 20:32:04,Wednesday,19,Evening
4075,City,4,Trip Completed,2016-07-14 02:17:35,2016-07-14 03:21:38,Thursday,2,Night
4686,City,4,Trip Completed,2016-07-14 13:01:10,2016-07-14 13:45:28,Thursday,13,Afternoon
5771,Airport,4,Trip Completed,2016-07-15 08:30:06,2016-07-15 09:37:20,Friday,8,Morning
6106,Airport,4,Trip Completed,2016-07-15 15:01:20,2016-07-15 15:47:31,Friday,15,Afternoon
312,City,5,Trip Completed,2016-07-11 07:27:00,2016-07-11 08:31:00,Monday,7,Morning
577,Airport,5,Trip Completed,2016-07-11 11:03:00,2016-07-11 12:01:00,Monday,11,Morning
1179,City,5,Trip Completed,2016-07-11 20:58:00,2016-07-11 21:45:00,Monday,20,Evening
1756,Airport,5,Trip Completed,2016-07-12 08:40:00,2016-07-12 09:23:00,Tuesday,8,Morning
2052,City,5,Trip Completed,2016-07-12 14:48:00,2016-07-12 15:50:00,Tuesday,14,Afternoon
2559,City,5,Trip Completed,2016-07-12 21:32:00,2016-07-12 22:29:00,Tuesday,21,Night
3014,City,5,Trip Completed,2016-07-13 07:28:14,2016-07-13 08:29:47,Wednesday,7,Morning
3317,City,5,Trip Completed,2016-07-13 12:14:27,2016-07-13 12:46:38,Wednesday,12,Afternoon
4297,City,5,Trip Completed,2016-07-14 06:43:01,2016-07-14 07:49:38,Thursday,6,Morning
5857,Airport,5,Trip Completed,2016-07-15 09:08:50,2016-07-15 10:07:07,Friday,9,Morning
6690,Airport,5,Trip Completed,2016-07-15 22:41:41,2016-07-15 23:51:00,Friday,22,Night
1517,Airport,6,Trip Completed,2016-07-12 05:45:00,2016-07-12 06:28:00,Tuesday,5,Night
1999,Airport,6,Trip Completed,2016-07-12 13:02:00,2016-07-12 13:51:00,Tuesday,13,Afternoon
2960,Airport,6,Trip Completed,2016-07-13 06:50:33,2016-07-13 07:40:35,Wednesday,6,Morning
3882,City,6,Trip Completed,2016-07-13 21:53:03,2016-07-13 22:45:24,Wednesday,21,Night
4081,Airport,6,Trip Completed,2016-07-14 02:37:14,2016-07-14 03:30:27,Thursday,2,Night
4740,City,6,Trip Completed,2016-07-14 14:50:07,2016-07-14 15:38:14,Thursday,14,Afternoon
5270,City,6,Trip Completed,2016-07-14 21:33:55,2016-07-14 22:25:43,Thursday,21,Night
6758,Airport,6,Trip Completed,2016-07-15 00:03:39,2016-07-15 01:07:39,Friday,0,Night
5741,City,6,Trip Completed,2016-07-15 07:52:51,2016-07-15 08:38:55,Friday,7,Morning
6087,Airport,6,Trip Completed,2016-07-15 14:28:50,2016-07-15 15:33:53,Friday,14,Afternoon
1039,City,7,Trip Completed,2016-07-11 19:31:00,2016-07-11 20:41:00,Monday,19,Evening
1273,Airport,7,Trip Completed,2016-07-11 22:07:00,2016-07-11 23:12:00,Monday,22,Night
2480,City,7,Trip Completed,2016-07-12 20:39:00,2016-07-12 21:28:00,Tuesday,20,Evening
4105,City,7,Trip Completed,2016-07-14 03:39:38,2016-07-14 04:39:04,Thursday,3,Night
4509,City,7,Trip Completed,2016-07-14 09:11:13,2016-07-14 10:17:01,Thursday,9,Morning
4986,Airport,7,Trip Completed,2016-07-14 18:52:32,2016-07-14 19:50:57,Thursday,18,Evening
5898,City,7,Trip Completed,2016-07-15 09:50:28,2016-07-15 10:40:39,Friday,9,Morning
6142,Airport,7,Trip Completed,2016-07-15 15:50:15,2016-07-15 16:36:56,Friday,15,Afternoon
380,Airport,8,Trip Completed,2016-07-11 08:18:00,2016-07-11 09:18:00,Monday,8,Morning
1050,Airport,8,Trip Completed,2016-07-11 19:39:00,2016-07-11 20:30:00,Monday,19,Evening
1769,City,8,Trip Completed,2016-07-12 08:57:00,2016-07-12 09:24:00,Tuesday,8,Morning
2520,City,8,Trip Completed,2016-07-12 21:05:00,2016-07-12 22:20:00,Tuesday,21,Night
3265,Airport,8,Trip Completed,2016-07-13 10:22:07,2016-07-13 11:07:02,Wednesday,10,Morning
4648,City,8,Trip Completed,2016-07-14 11:55:10,2016-07-14 12:59:34,Thursday,11,Morning
449,Airport,9,Trip Completed,2016-07-11 09:08:00,2016-07-11 09:52:00,Monday,9,Morning
846,Airport,9,Trip Completed,2016-07-11 17:46:00,2016-07-11 18:52:00,Monday,17,Evening
1346,Airport,9,Trip Completed,2016-07-11 23:39:00,2016-07-12 00:23:00,Monday,23,Night
1474,Airport,9,Trip Completed,2016-07-12 05:13:00,2016-07-12 05:56:00,Tuesday,5,Night
2240,City,9,Trip Completed,2016-07-12 18:20:00,2016-07-12 18:54:00,Tuesday,18,Evening
